phone_id,phone_type,area_code,contact_id,number
109,Home,848,50,6993800
110,Work,395,50,2883413
111,Cell-Phone,771,51,8120449
112,Work,411,51,2059343
113,Cell-Phone,258,52,2635860
114,Home,567,52,1350102
115,Work,709,52,7450219
116,Cell-Phone,378,53,8736862
117,Home,462,53,8453036
118,Work,575,53,7013295
119,Cell-Phone,125,54,6556551
120,Cell-Phone,320,55,3447502
121,Home,378,55,6821902
122,Work,749,55,2968636
123,Cell-Phone,614,56,9511081
124,Home,765,56,7019463
125,Work,920,56,3294108
126,Cell-Phone,158,57,7914110
127,Home,324,57,3191885
128,Cell-Phone,502,58,2721989
129,Work,755,58,5341340
130,Cell-Phone,743,59,3644750
131,Work,775,59,3912049
132,Cell-Phone,801,60,9953628
133,Work,992,60,2798238
134,Cell-Phone,978,61,4616856
135,Work,685,61,4810480
136,Cell-Phone,791,62,1622031
137,Cell-Phone,968,63,2773614
138,Home,188,63,4508080
139,Cell-Phone,798,64,8739529
140,Work,834,64,9091478
141,Cell-Phone,288,65,6741492
142,Home,758,65,1018619
143,Cell-Phone,334,66,4972608
144,Home,647,66,3255036
145,Work,712,66,2042142
146,Work,569,67,8282353
147,Cell-Phone,203,68,4314947
148,Work,365,68,9279690
149,Cell-Phone,307,69,7589076
150,Home,721,69,9747317
151,Work,284,69,2340042
152,Cell-Phone,849,70,6959335
153,Home,359,70,3109403
154,Cell-Phone,748,71,8187221
155,Cell-Phone,697,72,5167673
156,Work,689,73,2336416
157,Cell-Phone,359,74,1288195
158,Work,442,74,1440201
159,Cell-Phone,853,75,6696031
160,Cell-Phone,182,76,3133105
161,Cell-Phone,645,77,6889829
162,Home,258,77,9602550
163,Work,535,77,2388834
164,Cell-Phone,952,78,8729308
165,Home,738,78,4348751
166,Work,146,78,7782020
167,Work,463,79,1834657
168,Cell-Phone,896,80,6210151
169,Work,741,80,2745179
170,Cell-Phone,301,81,9471348
171,Work,928,81,6798594
172,Cell-Phone,442,82,7767096
173,Home,761,82,5082579
174,Cell-Phone,131,83,2778084
175,Cell-Phone,112,84,3372438
176,Work,812,84,3903319
177,Cell-Phone,467,85,1120628
178,Work,185,85,1912451
179,Cell-Phone,512,86,9991443
180,Work,996,86,9851004
181,Cell-Phone,311,87,8479441
182,Work,972,87,2457747
183,Cell-Phone,322,88,2200314
184,Home,760,88,7023529
185,Work,712,88,2704972
186,Cell-Phone,793,89,5966729
187,Home,454,89,1929694
188,Cell-Phone,920,90,9547865
189,Cell-Phone,996,91,4637162
190,Cell-Phone,685,92,5630088
191,Work,951,92,3076360
192,Cell-Phone,335,93,4644346
193,Home,800,93,4900502
194,Work,275,93,4596375
195,Cell-Phone,289,94,4902307
196,Work,845,94,6679320
197,Cell-Phone,438,95,1454987
198,Home,804,95,5224722
199,Work,610,95,3940372
200,Cell-Phone,299,96,7093929
201,Home,514,96,1863739
202,Cell-Phone,322,97,5295730
203,Work,374,97,9278236
204,Cell-Phone,554,98,9086180
205,Work,497,98,1612807
206,Cell-Phone,298,99,9785587
207,Cell-Phone,518,100,9282083
208,Home,870,100,8851418
209,Work,446,100,9713511
210,Cell-Phone,467,101,1697052
211,Work,560,101,4278364
212,Cell-Phone,601,102,1516193
213,Cell-Phone,415,103,7612375
214,Home,369,103,2382038
215,Work,644,103,6970806
216,Cell-Phone,932,104,4786742
217,Cell-Phone,612,105,7519073
218,Work,903,105,7238230
219,Cell-Phone,738,106,8344899
220,Work,575,106,8318442
221,Cell-Phone,518,107,5539464
222,Work,171,107,5869880
223,Cell-Phone,215,108,2177070
224,Home,166,108,5133272
225,Work,355,108,5634878
226,Cell-Phone,817,109,7744659
227,Home,725,109,9669431
228,Work,665,109,4313941
229,Cell-Phone,985,110,7956001
230,Home,768,110,8419661
231,Work,135,110,8204074
232,Cell-Phone,280,111,5930508
233,Work,384,111,5669537
234,Cell-Phone,634,112,8324961
235,Cell-Phone,671,113,4201296
236,Work,126,113,1845686
237,Cell-Phone,743,114,9689698
238,Home,443,114,5901681
239,Work,319,114,2159511
240,Cell-Phone,850,115,1683428
241,Work,425,115,6496990
242,Cell-Phone,685,116,7943792
243,Cell-Phone,626,117,2305244
244,Home,728,117,3821377
245,Cell-Phone,189,118,9464134
246,Cell-Phone,499,119,5213027
247,Home,862,119,5802697
248,Work,456,119,5743485
249,Cell-Phone,525,120,7861129
250,Cell-Phone,162,121,5917297
251,Cell-Phone,734,122,9435823
252,Home,222,122,3579889
253,Work,175,122,8969475
254,Cell-Phone,927,123,2695557
255,Home,841,123,3897758
256,Work,660,123,8617324
257,Cell-Phone,560,124,5407010
258,Home,527,124,9995145
259,Cell-Phone,368,125,3938119
260,Home,971,125,7245844
261,Work,885,125,6142560
262,Cell-Phone,819,126,2167409
263,Home,720,126,7675395
264,Work,601,126,4645787
265,Cell-Phone,510,127,5072668
266,Cell-Phone,417,128,9395637
267,Home,204,128,1369355
268,Work,533,128,7396596
269,Cell-Phone,689,129,7246341
270,Home,395,129,8152605
271,Work,470,129,7664449
272,Cell-Phone,659,130,3009914
273,Work,878,130,6488002
274,Cell-Phone,485,131,5098914
275,Home,950,131,7359534
276,Work,320,131,1445636
277,Cell-Phone,205,132,2732823
278,Work,440,132,5496823
279,Cell-Phone,739,133,7265173
280,Home,603,133,3789604
281,Work,959,133,1186515
282,Cell-Phone,561,134,7583885
283,Cell-Phone,780,135,3196348
284,Home,195,135,5912761
285,Work,851,135,8107191
286,Cell-Phone,665,136,8633496
287,Cell-Phone,101,137,6584163
288,Work,802,137,1734188
289,Cell-Phone,965,138,3693080
290,Work,311,138,5599990
291,Cell-Phone,630,139,1761993
292,Home,657,139,6650989
293,Work,596,139,3354027
294,Cell-Phone,126,140,1910637
295,Home,594,140,1008807
296,Work,998,140,1024319
297,Cell-Phone,399,141,4103150
298,Home,936,141,4708740
299,Cell-Phone,400,142,6327435
300,Home,224,142,6280332
301,Work,523,142,2841173
302,Cell-Phone,402,143,7494109
303,Work,682,143,7880921
304,Cell-Phone,623,144,4403069
305,Cell-Phone,680,145,9968963
306,Work,940,145,9161708
307,Cell-Phone,741,146,4052893
308,Home,596,146,5946343
309,Work,599,146,4797143
310,Cell-Phone,189,147,1445588
311,Work,194,147,5146250
312,Cell-Phone,907,148,4642719
313,Home,974,148,2026083
314,Work,605,148,4621975
315,Cell-Phone,889,149,7913642
316,Home,620,149,3175161
317,Work,800,149,2189724
318,Cell-Phone,874,150,6330543
319,Home,361,150,8572319
320,Cell-Phone,277,151,2345144
321,Home,474,151,2644928
322,Work,130,151,5751451
323,Cell-Phone,769,152,5839706
324,Home,821,152,8594219
325,Work,780,152,7290513
326,Cell-Phone,338,153,5452457
327,Home,319,153,2309127
328,Work,270,153,9361024
329,Cell-Phone,963,154,9708330
330,Work,212,154,3575802
331,Cell-Phone,259,155,2093551
332,Work,363,155,5919833
333,Cell-Phone,160,156,9148157
334,Home,539,156,8705632
335,Work,308,156,8535308
336,Cell-Phone,588,157,8602305
337,Home,910,157,7273016
338,Work,505,157,5312951
339,Cell-Phone,609,158,3396336
340,Home,600,158,2581532
341,Work,583,158,5060181
342,Cell-Phone,219,159,8034889
343,Cell-Phone,668,160,6957537
344,Home,963,160,5295711
345,Work,272,160,4757047
346,Cell-Phone,788,161,9650073
347,Home,994,161,1998435
348,Cell-Phone,322,162,2126474
349,Work,871,162,5255326
350,Cell-Phone,681,163,7585432
351,Work,906,163,2873813
352,Cell-Phone,737,164,4583193
353,Home,702,164,1011841
354,Work,519,164,5396640
355,Cell-Phone,605,165,4135142
356,Home,505,165,5625213
357,Cell-Phone,913,166,2275857
358,Work,299,166,3923863
359,Cell-Phone,207,167,3563286
360,Work,774,167,4676424
361,Cell-Phone,726,168,5610259
362,Work,138,168,1933944
363,Cell-Phone,729,169,5289115
364,Work,922,169,6563574
365,Cell-Phone,809,170,2516239
366,Work,179,170,8467624
367,Cell-Phone,350,171,8410515
368,Work,316,171,8102478
369,Cell-Phone,991,172,3009095
370,Home,347,172,8744660
371,Work,429,172,5642215
372,Cell-Phone,945,173,6883394
373,Cell-Phone,575,174,8372710
374,Home,793,174,5599408
375,Cell-Phone,836,175,2475742
376,Home,120,175,4696580
377,Cell-Phone,260,176,4459289
378,Work,703,176,2596055
379,Cell-Phone,991,177,6811755
380,Home,450,177,9623731
381,Work,238,177,8547937
382,Cell-Phone,530,178,6159871
383,Home,918,178,9171949
384,Cell-Phone,928,179,2801718
385,Home,118,179,9922961
386,Work,503,179,7316441
387,Cell-Phone,739,180,3704832
388,Cell-Phone,288,181,3807105
389,Home,264,181,2664036
390,Work,677,181,8018753
391,Cell-Phone,882,182,2244712
392,Work,508,182,4810030
393,Cell-Phone,141,183,9273011
394,Home,448,183,8754499
395,Work,580,183,1586597
396,Cell-Phone,206,184,6017607
397,Work,292,184,1161054
398,Home,409,185,4927295
399,Work,475,185,5047773
400,Cell-Phone,733,186,2716746
401,Work,201,186,1567465
402,Cell-Phone,294,187,2348775
403,Work,161,187,5170954
404,Cell-Phone,658,188,4286437
405,Home,156,188,9861385
406,Work,364,188,6508064
407,Cell-Phone,666,189,1163670
408,Work,732,189,6641953
409,Cell-Phone,710,190,1600835
410,Home,846,190,6971049
411,Work,669,190,6225273
412,Cell-Phone,155,191,9274964
413,Home,616,191,4082685
414,Cell-Phone,467,192,1446719
415,Home,593,192,8720141
416,Work,162,192,6608196
417,Cell-Phone,307,193,4342713
418,Home,719,193,4331940
419,Cell-Phone,119,194,1872885
420,Work,927,194,8248433
421,Cell-Phone,739,195,2460573
422,Home,435,195,4976117
423,Work,935,195,9719145
424,Cell-Phone,421,196,8295450
425,Home,638,196,2287039
426,Work,306,196,7482425
427,Cell-Phone,334,197,5950964
428,Work,784,197,5241493
429,Cell-Phone,542,198,3806173
430,Home,541,198,9729215
431,Work,528,198,5559675
432,Cell-Phone,860,199,3124413
433,Home,928,199,5858252
434,Cell-Phone,975,200,9521919
435,Home,384,200,6812575
436,Cell-Phone,890,201,4546783
437,Home,915,201,9090320
438,Work,221,201,9046120
439,Cell-Phone,676,202,1074163
440,Home,660,202,2236277
441,Cell-Phone,589,203,2416333
442,Home,628,203,9614631
443,Work,418,203,8756867
444,Cell-Phone,455,204,4434902
445,Home,547,204,6047582
446,Work,713,204,4809106
447,Cell-Phone,877,205,9393738
448,Home,422,205,1668360
449,Work,746,205,4105130
450,Cell-Phone,753,206,1715682
451,Home,854,206,2885241
452,Work,244,206,3572839
453,Cell-Phone,356,207,5765645
454,Cell-Phone,786,208,7317679
455,Home,521,208,3903859
456,Work,677,208,6093277
457,Cell-Phone,513,209,7111607
458,Home,217,209,3578603
459,Cell-Phone,657,210,2970002
460,Home,305,210,5059304
461,Work,550,210,5707649
462,Cell-Phone,842,211,6858134
463,Home,131,211,5547673
464,Cell-Phone,572,212,7858740
465,Work,577,212,3860520
466,Cell-Phone,789,213,6709179
467,Home,771,213,5373767
468,Work,137,213,9986889
469,Cell-Phone,954,214,5600159
470,Cell-Phone,111,215,9278581
471,Work,585,215,8847792
472,Home,828,216,3782541
473,Work,770,216,5783527
474,Cell-Phone,237,217,6778793
475,Work,724,217,7777402
476,Cell-Phone,943,218,8293863
477,Cell-Phone,346,219,8972782
478,Home,570,219,3262552
479,Cell-Phone,807,220,5092962
480,Home,193,220,4742547
481,Work,391,220,2349494
482,Cell-Phone,537,221,4499605
483,Cell-Phone,815,222,6808501
484,Work,297,222,6627654
485,Cell-Phone,885,223,3360223
486,Work,861,223,5276830
487,Cell-Phone,279,224,9157881
488,Work,855,224,4601939
489,Cell-Phone,874,225,5611064
490,Home,919,225,6081138
491,Cell-Phone,678,226,7568685
492,Home,801,226,1506562
493,Work,702,226,9202292
494,Cell-Phone,630,227,4054842
495,Cell-Phone,333,228,6967735
496,Work,894,228,5070455
497,Cell-Phone,707,229,1375452
498,Home,653,229,7180691
499,Cell-Phone,996,230,2396282
500,Home,954,230,5912566
501,Work,640,230,4277474
502,Cell-Phone,885,231,5917975
503,Work,939,231,8578068
504,Cell-Phone,419,232,1895639
505,Home,209,232,8565568
506,Work,517,232,7335398
507,Cell-Phone,970,233,8193933
508,Home,498,233,9160531
509,Work,957,233,4697349
510,Cell-Phone,122,234,9391039
511,Home,952,234,7027639
512,Work,737,234,7345439
513,Cell-Phone,381,235,7472286
514,Home,873,235,7639477
515,Work,785,235,8186829
516,Cell-Phone,584,236,4845052
517,Work,691,236,9607950
518,Cell-Phone,692,237,6684655
519,Work,141,237,3630839
520,Cell-Phone,530,238,9394107
521,Work,615,238,4087705
522,Cell-Phone,159,239,3528021
523,Home,360,239,2613677
524,Cell-Phone,131,240,4549471
525,Cell-Phone,883,241,6982435
526,Work,943,241,6585773
527,Cell-Phone,223,242,1451656
528,Home,216,242,2198508
529,Cell-Phone,999,243,9165458
530,Cell-Phone,226,244,2039541
531,Work,692,244,6107221
532,Cell-Phone,728,245,1708971
533,Home,643,245,5814018
534,Work,177,245,7121163
535,Cell-Phone,510,246,4413400
536,Home,898,246,3114913
537,Work,515,246,5983351
538,Cell-Phone,704,247,2311831
539,Work,909,247,6577010
540,Cell-Phone,927,248,3933874
541,Home,352,248,6170424
542,Work,621,248,2824315
543,Cell-Phone,911,249,9801743
544,Home,738,249,5751532
545,Work,565,249,5301901
546,Cell-Phone,777,250,6920874
547,Cell-Phone,652,251,4642372
548,Work,221,251,1537818
549,Cell-Phone,315,252,3453420
550,Home,216,252,1284604
551,Work,567,252,2428553
552,Cell-Phone,358,253,4819889
553,Home,393,253,9336921
554,Cell-Phone,842,254,2079733
555,Home,619,254,9851726
556,Work,226,254,9908334
557,Cell-Phone,864,255,7141199
558,Work,963,255,6183936
559,Cell-Phone,162,256,3268857
560,Home,563,256,8984407
561,Cell-Phone,476,257,2461194
562,Work,560,257,5333577
563,Home,593,258,5204976
564,Cell-Phone,741,259,8046153
565,Cell-Phone,283,260,5199469
566,Home,798,260,6451435
567,Work,678,260,2789610
568,Cell-Phone,945,261,8784565
569,Cell-Phone,246,262,1747624
570,Home,212,262,3636520
571,Work,159,262,6807922
572,Cell-Phone,790,263,8587895
573,Work,665,263,4718093
574,Cell-Phone,538,264,7897767
575,Home,135,264,7937070
576,Work,615,264,2912936
577,Cell-Phone,245,266,1169013
578,Home,607,266,9459621
579,Work,133,266,9474353
580,Cell-Phone,337,267,3654743
581,Home,439,267,6122673
582,Cell-Phone,772,268,4503153
583,Cell-Phone,682,269,3364639
584,Home,226,269,7680943
585,Work,454,269,4882348
586,Cell-Phone,586,270,3866331
587,Home,731,270,8197090
588,Work,671,270,2601052
589,Cell-Phone,321,271,5605572
590,Home,260,271,2529568
591,Work,995,271,7181899
592,Cell-Phone,764,272,2282895
593,Work,330,272,7929306
594,Cell-Phone,547,273,6515152
595,Home,768,273,5153346
596,Cell-Phone,111,274,7938014
597,Work,822,274,4046599
598,Cell-Phone,895,275,5471737
599,Cell-Phone,184,276,2237933
600,Work,304,276,5531314
601,Cell-Phone,760,277,3002633
602,Work,849,277,8781350
603,Cell-Phone,901,278,1269300
604,Home,102,278,4726185
605,Work,651,278,9545706
606,Cell-Phone,652,279,3112308
607,Work,975,279,1863275
608,Cell-Phone,365,280,5328461
609,Home,902,280,9750670
610,Work,259,280,8377467
611,Cell-Phone,519,281,7083846
612,Home,144,281,7951499
613,Work,955,281,2546266
614,Cell-Phone,106,282,4562187
615,Home,443,282,2119294
616,Work,510,282,8812776
617,Cell-Phone,752,283,3836580
618,Home,255,284,7514399
619,Work,303,284,6872112
620,Cell-Phone,773,285,4734110
621,Home,873,285,1231637
622,Work,119,285,1424923
623,Cell-Phone,538,286,5872812
624,Work,361,286,8419483
625,Cell-Phone,700,287,5255413
626,Work,445,287,4632036
627,Cell-Phone,260,288,8973964
628,Work,940,288,2832494
629,Cell-Phone,433,289,5323375
630,Home,524,289,2309991
631,Cell-Phone,901,290,2563152
632,Home,150,290,5803358
633,Work,609,290,3978181
634,Cell-Phone,138,291,6634933
635,Home,614,291,4662418
636,Cell-Phone,739,293,8160099
637,Cell-Phone,953,294,6344168
638,Home,722,294,8517661
639,Work,415,294,3918624
640,Cell-Phone,921,295,3354238
641,Work,620,295,8468310
642,Cell-Phone,582,296,5871230
643,Work,246,296,7518770
644,Work,131,297,2744339
645,Cell-Phone,732,298,2805706
646,Work,768,298,9433582
647,Cell-Phone,653,299,1998225
648,Work,396,299,3789449
649,Cell-Phone,846,300,7667200
650,Work,685,300,7807436
651,Cell-Phone,896,301,3178751
652,Work,109,301,4412458
653,Cell-Phone,154,302,3280392
654,Work,913,302,9068441
655,Cell-Phone,119,303,7294765
656,Home,590,303,8599229
657,Cell-Phone,840,304,1470576
658,Home,708,304,7004378
659,Work,170,304,4430516
660,Cell-Phone,113,305,2411349
661,Home,484,305,2756972
662,Work,897,305,9249172
663,Cell-Phone,178,306,7000270
664,Work,962,306,7698706
665,Cell-Phone,375,307,4070598
666,Work,158,307,1409215
667,Cell-Phone,573,308,7582931
668,Home,416,308,9678297
669,Cell-Phone,788,309,2628232
670,Work,230,309,4175878
671,Cell-Phone,525,310,8590181
672,Home,120,310,8676346
673,Work,607,310,1150976
674,Cell-Phone,104,311,8327245
675,Home,917,311,7303401
676,Cell-Phone,699,312,1896305
677,Home,402,312,7717293
678,Cell-Phone,417,313,8114669
679,Cell-Phone,841,314,6604138
680,Home,132,314,3524939
681,Work,979,314,9412868
682,Cell-Phone,246,315,3146200
683,Cell-Phone,765,316,8193904
684,Home,998,316,3663986
685,Cell-Phone,474,317,1025611
686,Work,398,317,7374833
687,Cell-Phone,814,318,3278268
688,Work,443,318,3346477
689,Cell-Phone,271,319,6203459
690,Home,795,319,3488410
691,Cell-Phone,450,320,8355005
692,Home,517,320,4848461
693,Work,390,320,8426160
694,Cell-Phone,760,321,8896313
695,Work,958,321,5207861
696,Cell-Phone,778,322,7055374
697,Home,106,322,3208656
698,Cell-Phone,958,323,8560549
699,Home,175,323,1398966
700,Cell-Phone,160,324,4189351
701,Home,114,324,1092699
702,Cell-Phone,733,325,5364162
703,Home,416,325,5279411
704,Work,474,325,3458269
705,Cell-Phone,472,326,6764057
706,Work,636,326,2152441
707,Cell-Phone,409,327,4170486
708,Home,701,327,9516627
709,Cell-Phone,307,328,7104260
710,Home,113,328,8337850
711,Work,218,328,5668321
712,Cell-Phone,764,329,6887211
713,Cell-Phone,848,330,3311605
714,Home,115,330,4079844
715,Work,780,330,7665194
716,Cell-Phone,149,331,3584766
717,Cell-Phone,246,332,7092158
718,Home,225,332,8689797
719,Cell-Phone,771,333,6928893
720,Work,317,333,9037792
721,Cell-Phone,132,334,9067999
722,Home,186,334,4079924
723,Work,685,334,9678364
724,Cell-Phone,885,335,5792681
725,Cell-Phone,161,336,2235730
726,Home,337,336,9947403
727,Work,970,336,9880877
728,Cell-Phone,599,337,7006909
729,Home,740,337,1612202
730,Work,427,337,5392916
731,Work,201,338,3984375
732,Cell-Phone,635,339,5939994
733,Home,142,339,2848389
734,Cell-Phone,954,340,7046957
735,Cell-Phone,538,341,1368119
736,Home,448,341,9933474
737,Work,325,341,9438882
738,Cell-Phone,933,342,2451342
739,Home,857,342,7077664
740,Cell-Phone,318,343,9451954
741,Cell-Phone,742,344,5974893
742,Home,883,344,2424398
743,Work,681,344,4002720
744,Cell-Phone,928,345,2528876
745,Home,919,345,3231257
746,Work,370,345,2025960
747,Cell-Phone,384,346,3252018
748,Home,538,346,7356171
749,Cell-Phone,289,347,5466050
750,Home,647,347,1274086
751,Cell-Phone,669,348,6589712
752,Home,346,348,2446524
753,Cell-Phone,716,349,6169811
754,Home,934,349,4219357
755,Work,945,349,9562686
756,Cell-Phone,226,350,6077620
757,Home,405,350,3479722
758,Work,790,350,5063204
759,Cell-Phone,568,351,4378548
760,Work,887,351,8021736
761,Cell-Phone,471,352,4830862
762,Work,338,352,5062497
763,Cell-Phone,162,353,5795330
764,Cell-Phone,733,354,5566269
765,Work,184,354,5683761
766,Cell-Phone,833,355,6580432
767,Cell-Phone,470,356,7885580
768,Cell-Phone,618,357,3618546
769,Work,909,357,2154838
770,Cell-Phone,932,358,9129931
771,Home,209,358,5352702
772,Work,879,358,7971124
773,Cell-Phone,596,359,5020473
774,Home,266,359,2639469
775,Cell-Phone,864,360,3766906
776,Home,730,360,1072205
777,Cell-Phone,797,361,5038595
778,Cell-Phone,403,362,2139920
779,Cell-Phone,780,363,3331752
780,Cell-Phone,857,364,3539811
781,Home,582,364,7496687
782,Work,504,364,3370116
783,Cell-Phone,929,365,2042594
784,Work,377,365,5363273
785,Cell-Phone,402,366,5231467
786,Home,666,366,7567464
787,Work,948,366,6448406
788,Cell-Phone,301,367,1675280
789,Work,101,367,8548404
790,Cell-Phone,716,368,9629064
791,Cell-Phone,654,369,9691212
792,Cell-Phone,317,370,2291546
793,Home,789,370,4002515
794,Work,416,370,8798878
795,Cell-Phone,489,371,2982101
796,Work,604,371,5452282
797,Cell-Phone,496,372,8423379
798,Cell-Phone,307,373,2312915
799,Home,725,373,6490235
800,Cell-Phone,601,374,1422316
801,Home,668,374,2886001
802,Cell-Phone,801,375,5675147
803,Home,596,375,8475055
804,Cell-Phone,361,376,7131548
805,Work,675,376,9451790
806,Cell-Phone,791,377,3188485
807,Home,707,377,3577631
808,Work,391,377,1938566
809,Cell-Phone,517,378,7749742
810,Work,864,378,3309633
811,Cell-Phone,917,379,5811409
812,Home,815,379,4248560
813,Cell-Phone,975,380,5923460
814,Work,248,380,1925921
815,Cell-Phone,916,381,4978573
816,Work,386,381,6717528
817,Cell-Phone,418,382,6798335
818,Work,280,382,4448902
819,Cell-Phone,876,383,8314057
820,Cell-Phone,948,384,7700844
821,Home,728,384,4820392
822,Cell-Phone,308,385,6697144
823,Home,204,385,1198973
824,Work,941,385,9506164
825,Cell-Phone,577,386,5098589
826,Work,625,386,5977748
827,Cell-Phone,610,387,5201894
828,Home,974,387,3551991
829,Work,906,387,7643201
830,Cell-Phone,270,388,5004689
831,Home,792,388,7982012
832,Work,178,388,5689297
833,Cell-Phone,247,389,1366714
834,Home,265,389,8315801
835,Work,362,389,2770473
836,Cell-Phone,212,390,9733833
837,Home,667,390,2886212
838,Work,911,390,2654340
839,Cell-Phone,690,391,6298142
840,Home,594,391,9575867
841,Work,257,391,1265945
842,Cell-Phone,963,392,1626782
843,Work,386,392,1681195
844,Cell-Phone,429,393,4802032
845,Home,440,393,2898057
846,Cell-Phone,833,394,4208697
847,Cell-Phone,970,395,7958180
848,Work,357,395,5499858
849,Cell-Phone,890,396,1657394
850,Cell-Phone,879,397,6393102
851,Home,500,397,1591166
852,Work,604,397,8744819
853,Cell-Phone,453,398,6765952
854,Work,115,398,1212435
855,Cell-Phone,301,399,7808939
856,Home,915,399,4175581
857,Work,901,399,3283792
858,Work,709,400,7381738
859,Cell-Phone,819,401,4925695
860,Work,252,401,2868767
861,Cell-Phone,176,402,3144811
862,Cell-Phone,346,403,5019702
863,Cell-Phone,551,405,4978817
864,Work,713,405,2124104
865,Cell-Phone,379,406,4465516
866,Work,772,406,4758322
867,Work,834,407,6057974
868,Cell-Phone,122,408,7721670
869,Home,648,408,5714202
870,Work,587,408,9623774
871,Cell-Phone,931,409,3806036
872,Work,779,409,8355111
873,Cell-Phone,407,410,9443765
874,Home,286,410,1874570
875,Cell-Phone,482,411,6968869
876,Work,273,411,1756814
877,Cell-Phone,488,412,7134507
878,Work,451,412,2125486
879,Cell-Phone,407,413,6079732
880,Home,942,413,4629310
881,Work,425,413,1973858
882,Cell-Phone,895,414,8760800
883,Work,619,414,8133510
884,Cell-Phone,672,415,1983035
885,Cell-Phone,706,416,8069461
886,Work,327,416,1010402
887,Cell-Phone,374,417,4417592
888,Work,190,417,4408826
889,Cell-Phone,615,418,6602876
890,Work,810,418,6487739
891,Cell-Phone,664,419,5654203
892,Cell-Phone,455,420,2203403
893,Cell-Phone,897,421,4433157
894,Cell-Phone,243,422,8709923
895,Work,235,422,1863222
896,Cell-Phone,392,424,5812335
897,Home,139,424,7153022
898,Work,368,424,7113336
899,Cell-Phone,989,425,8336141
900,Cell-Phone,737,426,4084838
901,Home,449,426,2531352
902,Work,674,426,8100933
903,Cell-Phone,789,427,5134253
904,Home,277,427,8946191
905,Work,218,427,3064059
906,Cell-Phone,777,428,2383165
907,Cell-Phone,762,429,6822323
908,Home,212,429,2411047
909,Work,192,429,7129675
910,Cell-Phone,131,430,6391104
911,Home,611,430,5860987
912,Work,898,430,3616855
913,Cell-Phone,832,431,7502254
914,Home,730,431,8277962
